stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
63,0.5,3.0,63.951290900004096,,63.93697759998031,63.951290900004096,64.45604079996701,64.45604079996701,64.45604079996701,64.76893449999625,64.85461199999554,right,3.0,1,1,0.39254849997814745,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
64,0.5,2.5,64.86951129999943,,64.85482569999294,64.86951129999943,65.36876310000662,65.36876310000662,65.36876310000662,65.66878940002061,65.77170260000275,left,-2.5,1,1,0.38520330004394054,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
65,0.5,2.5,65.78547020000406,,65.77190499997232,65.78547020000406,66.28629700001329,66.28629700001329,66.28629700001329,66.58557950000977,66.65408150001895,right,2.5,1,1,0.3556438999949023,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
66,0.5,2.5,66.66943289997289,,66.6542595999781,66.66943289997289,67.16905650001718,67.16905650001718,67.16905650001718,67.46891599998344,67.7208404999692,left,-2.5,1,1,0.5403918999945745,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
67,0.5,2.0,67.73559629998636,,67.7210171999759,67.73559629998636,68.23567449999973,68.23567449999973,68.23567449999973,68.53545989998383,68.73740440001711,right,2.0,1,1,0.4849887999589555,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
68,0.5,2.0,68.75246009998955,,68.73758239997551,68.75246009998955,69.25138430000516,69.25138430000516,69.26788920001127,69.55316120001953,69.87242520001018,right,2.0,1,1,0.6143150000134483,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
69,0.5,2.0,69.8871335000149,,69.87264229997527,69.8871335000149,70.38606920000166,70.38606920000166,70.40177559998119,70.68513359996723,70.93973240000196,left,-2.0,1,1,0.5403395000030287,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
70,0.5,1.5,70.95396889996482,,70.9399583999766,70.95396889996482,71.45318309997674,71.45318309997674,71.45318309997674,71.75310019997414,71.83883799996693,left,-1.5,0,0,0.3695593000156805,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
71,0.5,2.0,71.85326090001035,,71.83906570001272,71.85326090001035,72.35445360001177,72.35445360001177,72.35445360001177,72.65383929997915,73.02159369998844,right,2.0,0,0,0.6621371999499388,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
72,0.5,2.5,73.03588919999311,,73.02177270001266,73.03588919999311,73.52109150000615,73.52109150000615,73.53774379997049,73.82071940001333,74.17626520001795,right,2.5,1,1,0.6483709000167437,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
